scenario,model,ensemble,warming_level,year
ssp119,CanESM5,r1i1p1f1,0.38,1950
ssp119,CanESM5,r1i1p1f1,0.38,1951
ssp119,CanESM5,r1i1p1f1,0.38,1952
ssp119,CanESM5,r1i1p1f1,0.38,1953
ssp119,CanESM5,r1i1p1f1,0.38,1954
ssp119,CanESM5,r1i1p1f1,0.38,1955
ssp119,CanESM5,r1i1p1f1,0.38,1956
ssp119,CanESM5,r1i1p1f1,0.38,1957
ssp119,CanESM5,r1i1p1f1,0.38,1958
ssp119,CanESM5,r1i1p1f1,0.38,1959
ssp119,CanESM5,r1i1p1f1,0.38,1960
ssp119,CanESM5,r1i1p1f1,0.38,1961
ssp119,CanESM5,r1i1p1f1,0.38,1962
ssp119,CanESM5,r1i1p1f1,0.38,1963
ssp119,CanESM5,r1i1p1f1,0.38,1964
ssp119,CanESM5,r1i1p1f1,0.38,1965
ssp119,CanESM5,r1i1p1f1,0.38,1966
ssp119,CanESM5,r1i1p1f1,0.38,1967
ssp119,CanESM5,r1i1p1f1,0.38,1968
ssp119,CanESM5,r1i1p1f1,0.38,1969
ssp119,CanESM5,r1i1p1f1,0.38,1970
ssp119,CanESM5,r1i1p1f1,0.38,1971
ssp119,CanESM5,r1i1p1f1,0.38,1972
ssp119,CanESM5,r1i1p1f1,0.38,1973
ssp119,CanESM5,r1i1p1f1,0.38,1974
ssp119,CanESM5,r1i1p1f1,0.38,1975
ssp119,CanESM5,r1i1p1f1,0.38,1976
ssp119,CanESM5,r1i1p1f1,0.38,1977
ssp119,CanESM5,r1i1p1f1,0.38,1978
ssp119,CanESM5,r1i1p1f1,0.38,1979
ssp119,CanESM5,r1i1p1f1,0.38,1980
ssp119,CanESM5,r1i1p1f1,0.38,1981
ssp119,CanESM5,r1i1p1f1,0.38,1982
ssp119,CanESM5,r1i1p1f1,0.38,1983
ssp119,CanESM5,r1i1p1f1,0.38,1984
ssp119,CanESM5,r1i1p1f1,0.38,1985
ssp119,CanESM5,r1i1p1f1,0.38,1986
ssp119,CanESM5,r1i1p1f1,0.38,1987
ssp119,CanESM5,r1i1p1f1,0.38,1988
ssp119,CanESM5,r1i1p1f1,0.38,1989
ssp119,CanESM5,r1i1p1f1,0.38,1990
ssp119,CanESM5,r1i1p1f1,0.84,1973
ssp119,CanESM5,r1i1p1f1,0.84,1974
ssp119,CanESM5,r1i1p1f1,0.84,1975
ssp119,CanESM5,r1i1p1f1,0.84,1976
ssp119,CanESM5,r1i1p1f1,0.84,1977
ssp119,CanESM5,r1i1p1f1,0.84,1978
ssp119,CanESM5,r1i1p1f1,0.84,1979
ssp119,CanESM5,r1i1p1f1,0.84,1980
ssp119,CanESM5,r1i1p1f1,0.84,1981
ssp119,CanESM5,r1i1p1f1,0.84,1982
ssp119,CanESM5,r1i1p1f1,0.84,1983
ssp119,CanESM5,r1i1p1f1,0.84,1984
ssp119,CanESM5,r1i1p1f1,0.84,1985
ssp119,CanESM5,r1i1p1f1,0.84,1986
ssp119,CanESM5,r1i1p1f1,0.84,1987
ssp119,CanESM5,r1i1p1f1,0.84,1988
ssp119,CanESM5,r1i1p1f1,0.84,1989
ssp119,CanESM5,r1i1p1f1,0.84,1990
ssp119,CanESM5,r1i1p1f1,0.84,1991
ssp119,CanESM5,r1i1p1f1,0.84,1992
ssp119,CanESM5,r1i1p1f1,0.84,1993
ssp119,CanESM5,r1i1p1f1,0.84,1994
ssp119,CanESM5,r1i1p1f1,0.84,1995
ssp119,CanESM5,r1i1p1f1,0.84,1996
ssp119,CanESM5,r1i1p1f1,0.84,1997
ssp119,CanESM5,r1i1p1f1,0.84,1998
ssp119,CanESM5,r1i1p1f1,0.84,1999
ssp119,CanESM5,r1i1p1f1,0.84,2000
ssp119,CanESM5,r1i1p1f1,0.84,2001
ssp119,CanESM5,r1i1p1f1,0.84,2002
ssp119,CanESM5,r1i1p1f1,0.84,2003
ssp119,CanESM5,r1i1p1f1,0.84,2004
ssp119,CanESM5,r1i1p1f1,0.84,2005
ssp119,CanESM5,r1i1p1f1,0.84,2006
ssp119,CanESM5,r1i1p1f1,0.84,2007
ssp119,CanESM5,r1i1p1f1,0.84,2008
ssp119,CanESM5,r1i1p1f1,0.84,2009
ssp119,CanESM5,r1i1p1f1,0.84,2010
ssp119,CanESM5,r1i1p1f1,0.84,2011
ssp119,CanESM5,r1i1p1f1,0.84,2012
ssp119,CanESM5,r1i1p1f1,0.84,2013
ssp119,CanESM5,r1i1p1f1,1,1990
ssp119,CanESM5,r1i1p1f1,1,1991
ssp119,CanESM5,r1i1p1f1,1,1992
ssp119,CanESM5,r1i1p1f1,1,1993
ssp119,CanESM5,r1i1p1f1,1,1994
ssp119,CanESM5,r1i1p1f1,1,1995
ssp119,CanESM5,r1i1p1f1,1,1996
ssp119,CanESM5,r1i1p1f1,1,1997
ssp119,CanESM5,r1i1p1f1,1,1998
ssp119,CanESM5,r1i1p1f1,1,1999
ssp119,CanESM5,r1i1p1f1,1,2000
ssp119,CanESM5,r1i1p1f1,1,2001
ssp119,CanESM5,r1i1p1f1,1,2002
ssp119,CanESM5,r1i1p1f1,1,2003
ssp119,CanESM5,r1i1p1f1,1,2004
ssp119,CanESM5,r1i1p1f1,1,2005
ssp119,CanESM5,r1i1p1f1,1,2006
ssp119,CanESM5,r1i1p1f1,1,2007
ssp119,CanESM5,r1i1p1f1,1,2008
ssp119,CanESM5,r1i1p1f1,1,2009
ssp119,CanESM5,r1i1p1f1,1.5,2003
ssp119,CanESM5,r1i1p1f1,1.5,2004
ssp119,CanESM5,r1i1p1f1,1.5,2005
ssp119,CanESM5,r1i1p1f1,1.5,2006
ssp119,CanESM5,r1i1p1f1,1.5,2007
ssp119,CanESM5,r1i1p1f1,1.5,2008
ssp119,CanESM5,r1i1p1f1,1.5,2009
ssp119,CanESM5,r1i1p1f1,1.5,2010
ssp119,CanESM5,r1i1p1f1,1.5,2011
ssp119,CanESM5,r1i1p1f1,1.5,2012
ssp119,CanESM5,r1i1p1f1,1.5,2013
ssp119,CanESM5,r1i1p1f1,1.5,2014
ssp119,CanESM5,r1i1p1f1,1.5,2015
ssp119,CanESM5,r1i1p1f1,1.5,2016
ssp119,CanESM5,r1i1p1f1,1.5,2017
ssp119,CanESM5,r1i1p1f1,1.5,2018
ssp119,CanESM5,r1i1p1f1,1.5,2019
ssp119,CanESM5,r1i1p1f1,1.5,2020
ssp119,CanESM5,r1i1p1f1,1.5,2021
ssp119,CanESM5,r1i1p1f1,1.5,2022
ssp119,CanESM5,r1i1p1f1,2,2015
ssp119,CanESM5,r1i1p1f1,2,2016
ssp119,CanESM5,r1i1p1f1,2,2017
ssp119,CanESM5,r1i1p1f1,2,2018
ssp119,CanESM5,r1i1p1f1,2,2019
ssp119,CanESM5,r1i1p1f1,2,2020
ssp119,CanESM5,r1i1p1f1,2,2021
ssp119,CanESM5,r1i1p1f1,2,2022
ssp119,CanESM5,r1i1p1f1,2,2023
ssp119,CanESM5,r1i1p1f1,2,2024
ssp119,CanESM5,r1i1p1f1,2,2025
ssp119,CanESM5,r1i1p1f1,2,2026
ssp119,CanESM5,r1i1p1f1,2,2027
ssp119,CanESM5,r1i1p1f1,2,2028
ssp119,CanESM5,r1i1p1f1,2,2029
ssp119,CanESM5,r1i1p1f1,2,2030
ssp119,CanESM5,r1i1p1f1,2,2031
ssp119,CanESM5,r1i1p1f1,2,2032
ssp119,CanESM5,r1i1p1f1,2,2033
ssp119,CanESM5,r1i1p1f1,2,2034
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1971
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1972
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1973
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1974
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1975
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1976
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1977
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1978
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1979
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1980
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1981
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1982
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1983
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1984
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1985
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1986
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1987
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1988
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1989
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1990
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1991
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1992
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1993
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1994
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1995
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1996
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1997
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1998
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1999
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2000
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2001
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2002
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2003
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2004
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2005
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2006
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2007
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2008
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2009
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2010
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2011
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1991
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1992
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1993
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1994
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1995
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1996
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1997
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1998
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1999
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2000
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2001
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2002
