model,scenario,ensemble
CanESM5,ssp119,r1i1p1f1
CNRM-ESM2-1,ssp119,r1i1p1f2
EC-Earth3,ssp119,r4i1p1f1
EC-Earth3-Veg,ssp119,r1i1p1f1
EC-Earth3-Veg-LR,ssp119,r1i1p1f1
FGOALS-g3,ssp119,r1i1p1f1
GFDL-ESM4,ssp119,r1i1p1f1
IPSL-CM6A-LR,ssp119,r1i1p1f1
MIROC-ES2L,ssp119,r1i1p1f2
MIROC6,ssp119,r1i1p1f1
MRI-ESM2-0,ssp119,r1i1p1f1
UKESM1-0-LL,ssp119,r1i1p1f2
ACCESS-CM2,ssp126,r1i1p1f1
ACCESS-ESM1-5,ssp126,r1i1p1f1
BCC-CSM2-MR,ssp126,r1i1p1f1
CanESM5,ssp126,r1i1p1f1
CESM2,ssp126,r1i1p1f1
CMCC-CM2-SR5,ssp126,r1i1p1f1
CNRM-CM6-1,ssp126,r1i1p1f2
CNRM-CM6-1-HR,ssp126,r1i1p1f2
CNRM-ESM2-1,ssp126,r1i1p1f2
EC-Earth3,ssp126,r1i1p1f1
EC-Earth3-Veg,ssp126,r1i1p1f1
EC-Earth3-Veg-LR,ssp126,r1i1p1f1
FGOALS-g3,ssp126,r1i1p1f1
GFDL-ESM4,ssp126,r1i1p1f1
HadGEM3-GC31-LL,ssp126,r1i1p1f3
HadGEM3-GC31-MM,ssp126,r1i1p1f3
INM-CM4-8,ssp126,r1i1p1f1
INM-CM5-0,ssp126,r1i1p1f1
IPSL-CM6A-LR,ssp126,r1i1p1f1
KACE-1-0-G,ssp126,r1i1p1f1
KIOST-ESM,ssp126,r1i1p1f1
MIROC-ES2L,ssp126,r1i1p1f2
MIROC6,ssp126,r1i1p1f1
MPI-ESM1-2-HR,ssp126,r1i1p1f1
MPI-ESM1-2-LR,ssp126,r1i1p1f1
MRI-ESM2-0,ssp126,r1i1p1f1
NESM3,ssp126,r1i1p1f1
NorESM2-LM,ssp126,r1i1p1f1
NorESM2-MM,ssp126,r1i1p1f1
TaiESM1,ssp126,r1i1p1f1
UKESM1-0-LL,ssp126,r1i1p1f2
ACCESS-CM2,ssp370,r1i1p1f1
ACCESS-ESM1-5,ssp370,r1i1p1f1
BCC-CSM2-MR,ssp370,r1i1p1f1
CanESM5,ssp370,r1i1p1f1
CESM2,ssp370,r1i1p1f1
CESM2-WACCM,ssp370,r1i1p1f1
CMCC-CM2-SR5,ssp370,r1i1p1f1
CNRM-CM6-1,ssp370,r1i1p1f2
CNRM-ESM2-1,ssp370,r1i1p1f2
EC-Earth3,ssp370,r1i1p1f1
EC-Earth3-AerChem,ssp370,r1i1p1f1
EC-Earth3-Veg,ssp370,r1i1p1f1
EC-Earth3-Veg-LR,ssp370,r1i1p1f1
FGOALS-g3,ssp370,r1i1p1f1
GFDL-ESM4,ssp370,r1i1p1f1
INM-CM4-8,ssp370,r1i1p1f1
INM-CM5-0,ssp370,r1i1p1f1
IPSL-CM6A-LR,ssp370,r1i1p1f1
KACE-1-0-G,ssp370,r1i1p1f1
MIROC-ES2L,ssp370,r1i1p1f2
MIROC6,ssp370,r1i1p1f1
MPI-ESM1-2-HR,ssp370,r1i1p1f1
MPI-ESM1-2-LR,ssp370,r1i1p1f1
MRI-ESM2-0,ssp370,r1i1p1f1
NorESM2-LM,ssp370,r1i1p1f1
